,Author,Quotes,Likes,Tags
0,C.S. Lewis,"“If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.”",12014,"['god', 'world']"
1,Chuck Palahniuk,"“All God does is watch us and kill us when we get boring. We must never, ever be boring.”",11458,"['god', 'humor', 'life']"
2,C.S. Lewis,"“The Christian does not think God will love us because we are good, but that God will make us good because He loves us.”",10760,"['christianity', 'god', 'religion']"
3,Stephen King,"“When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, ""Why god? Why me?"" and the thundering voice of God answered, There's just something about you that pisses me off.”",7827,"['god', 'humor', 'religion']"
4,Mahatma Gandhi,“Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.”,6235,"['god', 'heart', 'humanity', 'inspirational', 'prayer', 'religion', 'souls', 'weakness']"
5,Oscar Wilde,"“I think God, in creating man, somewhat overestimated his ability.”",6150,"['creation', 'god', 'humor', 'man']"
6,C.S. Lewis,“To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.”,5795,"['christianity', 'forgiveness', 'god']"
7,Anonymous,"“And now these three remain: faith, hope and love. But the greatest of these is love.”",5701,"['faith', 'god', 'hope', 'love']"
8,Mahatma Gandhi,“God has no religion.”,5245,"['god', 'religion']"
9,C.S. Lewis,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,5080,['god']
10,Elbert Hubbard,"“God will not look you over for medals, degrees or diplomas but for scars.”",5032,"['faith', 'god', 'wisdom']"
11,Nicolas Chamfort,“The most wasted of all days is one without laughter.”,4720,"['god', 'joy', 'life', 'spirituality']"
12,Fyodor Dostoevsky,"“The darker the night, the brighter the stars,",4293,"['god', 'grief', 'night']"
13,C.S. Lewis,“A man can no more diminish God's glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word 'darkness' on the walls of his cell.”,4272,"['god', 'religion']"
14,kurt vonnegut,"“If I should ever die, God forbid, let this be my epitaph:",4177,"['blues', 'god', 'life', 'music']"
15,Soren Kierkegaard,"“The function of prayer is not to influence God, but rather to change the nature of the one who prays.”",4071,"['faith', 'god', 'prayer']"
16,Corrie ten Boom,“Never be afraid to trust an unknown future to a known God.”,3953,"['faith', 'future', 'god', 'trust']"
