,Author,Quotes,Likes,Tags
0,Albert Einstein,“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,139731,"['attributed-no-source', 'human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']"
1,Frank Zappa,"“So many books, so little time.”",137699,"['books', 'humor']"
2,Mae West,"“You only live once, but if you do it right, once is enough.”",112757,"['humor', 'life']"
3,Narcotics Anonymous,"“Insanity is doing the same thing, over and over again, but expecting different results.”",63112,"['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']"
4,Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",49671,"['aliteracy', 'books', 'classic', 'humor']"
5,Groucho Marx,"“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”",37425,"['animals', 'books', 'dogs', 'friends', 'humor']"
6,Steve Martin,"“A day without sunshine is like, you know, night.”",34937,"['humor', 'obvious', 'simile']"
7,Mark Twain,“Never put off till tomorrow what may be done day after tomorrow just as well.”,34075,"['humor', 'procrastination']"
8,Douglas Adams,“I love deadlines. I love the whooshing noise they make as they go by.”,31642,"['deadlines', 'humor', 'humour', 'work', 'writing']"
9,Garrison Keillor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,29594,"['humor', 'religion']"
10,Robert A. Heinlein,"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”",28369,"['cats', 'humor', 'women']"
11,Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”,26507,"['chocolate', 'food', 'humor']"
12,Jim Henson,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,26157,['humor']
13,Woody Allen,“I'm not afraid of death; I just don't want to be there when it happens.”,25186,"['death', 'fear', 'humor', 'life']"
14,Paul   Terry,"“Whenever I feel the need to exercise, I lie down until it goes away.”",24187,"['exercise', 'humor', 'laziness', 'misattributed-to-hutchins']"
15,Groucho Marx,"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”",22806,"['books', 'humor', 'reading', 'television']"
16,Douglas Adams,“The story so far:,22754,"['humor', 'scifi']"
17,John Green,"“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”",21845,"['humor', 'nerdfighters']"
