,Author,Quotes,Likes,Tags
0,Oscar Wilde,“Be yourself; everyone else is already taken.”,160794,"['attributed-no-source', 'be-yourself', 'gilbert-perreira', 'honesty', 'inspirational', 'misattributed-oscar-wilde', 'quote-investigator']"
1,William W. Purkey,"“You've gotta dance like there's nobody watching,",123038,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']"
2,Mahatma Gandhi,“Be the change that you wish to see in the world.”,110434,"['action', 'change', 'inspirational', 'philosophy', 'wish']"
3,Mahatma Gandhi,“Live as if you were to die tomorrow. Learn as if you were to live forever.”,75301,"['carpe-diem', 'education', 'inspirational', 'learning']"
4,Martin Luther King Jr.,“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,75224,"['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']"
5,Stephen Chbosky,“We accept the love we think we deserve.”,70537,"['inspirational', 'love']"
6,Friedrich Nietzsche,"“Without music, life would be a mistake.”",70382,"['inspirational', 'music', 'philosophy']"
7,Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",48905,"['attributed-no-source', 'be-yourself', 'inspirational']"
8,Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,48578,"['attributed-no-source', 'inspirational', 'life', 'live', 'miracle', 'miracles']"
9,Oscar Wilde,"“We are all in the gutter, but some of us are looking at the stars.”",44484,"['inspirational', 'optimism', 'perception', 'pessimism']"
10,Neil Gaiman,"“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”",44100,"['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton']"
11,Bill Keane,"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",41777,"['attributed-no-source', 'hope', 'inspirational', 'misattributed-eleanor-roosevelt', 'past', 'present', 'widely-misattributed']"
12,Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”",41088,"['edison', 'failure', 'inspirational', 'paraphrased']"
13,Elie Wiesel,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",40511,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
14,Albert Einstein,“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”,36932,"['1929', 'imagination', 'inspirational', 'viereck-interview']"
15,Dr. Seuss,“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”,33532,['inspirational']
16,George Eliot,“It is never too late to be what you might have been.”,32738,"['inspirational', 'source-unknown']"
17,Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",31808,"['attributed-no-source', 'friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']"
18,Maya Angelou,“There is no greater agony than bearing an untold story inside you.”,30227,"['1970', 'inspirational', 'stories', 'writing']"
19,Pablo Picasso,“Everything you can imagine is real.”,29043,"['art', 'imagination', 'inspirational', 'life']"
20,C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”,27144,"['books', 'inspirational', 'reading', 'tea']"
21,George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”,25802,"['inspirational', 'life', 'yourself']"
22,J.K. Rowling,"“To the well-organized mind, death is but the next great adventure.”",25225,"['death', 'dumbledore', 'harry', 'inspirational', 'philosophers-stone', 'ron', 'sorcerers-stone']"
23,Theodore Roosevelt,"“Do what you can, with what you have, where you are.”",23354,['inspirational']
24,Winston S. Churchill,"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",22579,"['bravery', 'courage', 'failure', 'inspirational', 'success']"
25,Shel Silverstein,"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”",22365,"['anything-can-be', 'hope', 'impossible', 'inspirational', 'musn-t', 'possibilities', 'shouldn-t', 'won-t']"
26,Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",22359,['inspirational']
27,Stephen Chbosky,"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”",22021,"['charlie', 'favourite-books', 'inspirational', 'sad', 'soul-searching', 'wallflower']"
28,Paulo Coelho,"“And, when you want something, all the universe conspires in helping you to achieve it.”",19042,['inspirational']
29,John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",18635,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']"
30,Marianne Williamson,"“Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.”",17188,"['akeelah', 'fear', 'inspirational']"
31,Lewis Carroll,"“It’s no use going back to yesterday, because I was a different person then.”",16932,"['alice', 'humor', 'inspirational', 'philosophy-of-life', 'psychological', 'yesterday']"
32,Paulo Coelho,“It's the possibility of having a dream come true that makes life interesting.”,15282,['inspirational']
33,Maya Angelou,"“What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.”",15123,"['1993', 'advice', 'complaining', 'inspirational']"
34,Bob Marley,"“He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.”",14662,"['inspirational', 'love']"
35,Dr. Seuss,"“A person's a person, no matter how small.”",14517,['inspirational']
36,Henri Nouwen,"“When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”",13976,"['empathy', 'friends', 'friendship', 'inspirational']"
37,Nicholas Sparks,"“You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”",13529,"['inspirational', 'the-notebook']"
38,Laurel Thatcher Ulrich,“Well-behaved women seldom make history.”,12452,"['inspirational', 'misattributed-eleanor-roosevelt', 'women']"
39,F. Scott Fitzgerald,"“So we beat on, boats against the current, borne back ceaselessly into the past.”",11960,"['book', 'inspirational']"
40,Mahatma Gandhi,"“When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”",11833,"['despair', 'evil', 'goodness', 'inspirational', 'love', 'sadness', 'truth', 'victory']"
41,Audrey Hepburn,"“Nothing is impossible, the word itself says 'I'm possible'!”",11478,"['attributed-no-source', 'inspirational']"
42,Eleanor Roosevelt,“Do what you feel in your heart to be right – for you’ll be criticized anyway.”,11268,['inspirational']
43,Herbert Bayard Swope,"“I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”",11262,"['failure', 'inspirational', 'misattributed-bill-cosby', 'success']"
44,Jack Kerouac,"“[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!”",11245,"['freethinker', 'inspirational', 'mad']"
45,Margaret Mead,"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”",11013,"['activism', 'attributed-no-source', 'change', 'inspirational', 'life', 'philosophy', 'world']"
46,Dalai Lama XIV,“Happiness is not something ready made. It comes from your own actions.”,10968,"['happiness', 'inspirational']"
47,Mother Teresa,“Peace begins with a smile..”,10794,"['inspirational', 'peace', 'smile', 'smiling']"
48,Gustave Flaubert,"“Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.”",10739,"['books', 'inspirational', 'life', 'reading']"
49,John Green,"“Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.”",10604,['inspirational']
50,Sam Levenson,"“For attractive lips, speak words of kindness.",10271,"['beauty', 'charity', 'inspirational', 'kindness', 'misattributed-audrey-hepburn']"
51,C.S. Lewis,"“Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.”",10256,"['friendship', 'inspirational']"
52,Christian D. Larson,“Promise Yourself,10159,"['happiness', 'inspirational', 'love', 'optimism', 'strength']"
53,F. Scott Fitzgerald,"“I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.”",10078,"['inspirational', 'women']"
54,Abraham Lincoln,"“Whatever you are, be a good one.”",9945,['inspirational']
55,Jonathan Swift,“May you live every day of your life.”,9728,"['inspirational', 'life', 'philosophy', 'wisdom']"
56,Thomas Szasz,"“Two wrongs don't make a right, but they make a good excuse.”",9668,"['humor', 'inspirational']"
57,George Orwell,“Who controls the past controls the future. Who controls the present controls the past.”,9668,['inspirational']
58,Nicholas Klein,“First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.”,9411,"['conflict', 'fighting', 'inspirational', 'misattributed-to-gandhi', 'trial']"
59,Haruki Murakami,"“And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.”",9233,"['adversity', 'inspirational', 'life-lessons', 'problems', 'trials']"
60,Rick Riordan,"“If my life is going to mean anything, I have to live it myself.”",9163,"['inspirational', 'life', 'meaning']"
61,Robert Fulghum,“I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.”,9087,"['hope', 'imagination', 'inspirational']"
62,Roy T. Bennett,“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,9059,"['attitude', 'choice', 'giving', 'happiness', 'inspirational', 'kindness', 'life-and-living', 'life-lessons', 'motivational', 'positive-affirmation']"
63,A.A. Milne,“You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.”,8836,"['friendship', 'inspirational', 'pooh', 'winnie']"
64,L.M. Montgomery,“Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?”,8823,"['beginnings', 'fresh-start', 'inspirational', 'mistake', 'mistakes', 'new-day', 'start-over', 'tomorrow']"
65,Emily Dickinson,“Hope is the thing with feathers,8414,"['feathers', 'hope', 'inspirational', 'souls']"
66,C. JoyBell C.,"“You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.”",8363,"['affection', 'communication', 'heartwarming', 'human-connections', 'human-nature', 'humanism', 'humanity', 'inspirational', 'inspirational-life', 'inspirational-love', 'inspirational-quotes', 'relationships']"
67,Roy T. Bennett,“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,8329,"['dreams', 'fearless', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'mind', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
68,haruki murakami,“Pain is inevitable. Suffering is optional.”,8168,"['inspirational', 'running']"
69,Chad Sugg,“If you're reading this...,8071,"['alive', 'congratulations', 'hope', 'humanity', 'inspiration', 'inspirational', 'inspire', 'life', 'poetry', 'smile', 'wisdom']"
70,John Lennon,"“When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.”",8061,"['inspirational', 'life']"
71,Ralph Waldo Emerson,“Always do what you are afraid to do.”,7965,['inspirational']
72,Alexandre Dumas,"“There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life.",7930,"['hope', 'inspirational', 'wisdom']"
73,John Milton,"“The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..”",7921,"['inspirational', 'religion']"
74,Martin Luther King Jr.,“Our lives begin to end the day we become silent about things that matter.”,7901,['inspirational']
75,Arthur Schopenhauer,“Talent hits a target no one else can hit. Genius hits a target no one else can see.”,7834,"['inspirational', 'talent']"
76,Roy T. Bennett,"“Instead of worrying about what you cannot control, shift your energy to what you can create.”",7767,"['creation', 'creative', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'worry']"
77,Ayn Rand,"“Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.”",7762,"['inspirational', 'life']"
78,Martin Luther King Jr.,"“In the end, we will remember not the words of our enemies, but the silence of our friends.”",7761,['inspirational']
79,John Green,“It is so hard to leave—until you leave. And then it is the easiest goddamned thing in the world.”,7686,"['inertia', 'inspirational', 'leaving', 'nerdfighter']"
80,J.R.R. Tolkien,"“The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.”",7549,"['hope', 'inspirational', 'love']"
81,Lloyd Alexander,“Fantasy is hardly an escape from reality. It's a way of understanding it.”,7533,"['fantasy', 'inspirational', 'writing']"
82,William Shakespeare,“Hell is empty and all the devils are here.”,7363,['inspirational']
83,Theodore Roosevelt,"“It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.”",7330,"['inspirational', 'politics', 'presidential']"
84,Paulo Coelho,“Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.”,7275,['inspirational']
85,Isaac Asimov,“Never let your sense of morals prevent you from doing what is right.”,7178,"['humor', 'inspirational', 'philosophy', 'wisdom']"
86,Roy T. Bennett,"“Take responsibility of your own happiness, never put it in other people’s hands.”",7054,"['happiness', 'inspirational', 'responsibility']"
87,Maya Angelou,“I can be changed by what happens to me. But I refuse to be reduced by it.,7030,"['be-yourself', 'inspirational', 'misquote', 'self-determination']"
88,Roy T. Bennett,“Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”,6999,"['being-human', 'goodness', 'human', 'human-nature', 'humanism', 'humanity', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'kindness', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'love', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'smile', 'smiles']"
89,Haruki Murakami,"“If you remember me, then I don't care if everyone else forgets.”",6870,"['inspirational', 'love']"
