,Author,Quotes,Likes,Tags
0,Marilyn Monroe,"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",157342,"['attributed-no-source', 'best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst']"
1,William W. Purkey,"“You've gotta dance like there's nobody watching,",123038,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']"
2,Mae West,"“You only live once, but if you do it right, once is enough.”",112757,"['humor', 'life']"
3,Robert Frost,“In three words I can sum up everything I've learned about life: it goes on.”,104643,['life']
4,Oscar Wilde,"“To live is the rarest thing in the world. Most people exist, that is all.”",78450,['life']
5,Narcotics Anonymous,"“Insanity is doing the same thing, over and over again, but expecting different results.”",63112,"['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']"
6,Andre Gide,“It is better to be hated for what you are than to be loved for what you are not.”,58144,"['life', 'love']"
7,Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,48578,"['attributed-no-source', 'inspirational', 'life', 'live', 'miracle', 'miracles']"
8,J.K. Rowling,“It does not do to dwell on dreams and forget to live.”,48107,"['dreams', 'life']"
9,Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",45968,"['books', 'contentment', 'friends', 'friendship', 'life']"
10,Allen Saunders,“Life is what happens to us while we are making other plans.”,43015,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']"
11,douglas adams,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",38433,"['life', 'navigation']"
12,Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",31808,"['attributed-no-source', 'friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']"
13,Pablo Picasso,“Everything you can imagine is real.”,29043,"['art', 'imagination', 'inspirational', 'life']"
14,Dr. Seuss,“Sometimes the questions are complicated and the answers are simple.”,27652,"['attributed-no-source', 'life']"
15,George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”,25802,"['inspirational', 'life', 'yourself']"
16,Dr. Seuss,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",25562,"['comedy', 'life', 'yourself']"
17,Woody Allen,“I'm not afraid of death; I just don't want to be there when it happens.”,25186,"['death', 'fear', 'humor', 'life']"
18,Markus Zusak,“Sometimes people are beautiful.,23952,"['beauty', 'life']"
19,Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",21831,"['life', 'simile']"
20,John Green,“Some infinities are bigger than other infinities.”,21056,"['infinity', 'john-green', 'life', 'tfios', 'the-fault-in-our-stars']"
21,Bill Watterson,“Reality continues to ruin my life.”,20550,"['calvin-and-hobbes', 'humor', 'life']"
22,Stephen Chbosky,“Things change. And friends leave. Life doesn't stop for anybody.”,20343,"['change', 'life']"
23,Bob Marley,“Who are you to judge the life I live?,20112,"['judge', 'life', 'live', 'perfection']"
24,John Green,“The only way out of the labyrinth of suffering is to forgive.”,19664,"['compassion', 'life', 'suffering']"
25,Jess C. Scott,"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”",19314,"['desire', 'emotion', 'friendship', 'honesty', 'imagination', 'individuality', 'life', 'love', 'passion', 'reality', 'relationships', 'romance', 'truth', 'wisdom', 'wise-words']"
26,J.K. Rowling,"“Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.",19231,"['dumbledore', 'life', 'love', 'snape']"
27,Bessie Anderson Stanley,"“He has achieved success who has lived well, laughed often, and loved much;",18623,"['life', 'misattributed-to-emerson', 'success', 'widely-misattributed']"
28,Ralph Waldo Emerson,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,18124,"['life', 'regrets']"
29,Kurt Vonnegut,"“We are what we pretend to be, so we must be careful about what we pretend to be.”",17153,"['action', 'attitude', 'choice', 'imagination', 'inspiration', 'life', 'pretend']"
30,Sylvia Plath,"“I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.”",17016,"['books', 'life', 'limits']"
31,Jimi Hendrix,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",16903,"['death', 'life']"
32,Khaled Hosseini,“But better to get hurt by the truth than comforted with a lie.”,16794,['life']
33,Mark Twain,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,16212,"['death', 'life']"
34,Nicholas Sparks,"“Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.”",15596,"['life', 'love']"
35,Chuck Palahniuk,"“The one you love and the one who loves you are never, ever the same person.”",13769,"['life', 'love']"
36,Isaac Asimov,“The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.”,13245,"['life', 'science', 'wisdom']"
37,Albert Einstein,"“I speak to everyone in the same way, whether he is the garbage man or the president of the university.”",13141,"['life', 'respect']"
38,Anne Frank,“How wonderful it is that nobody need wait a single moment before starting to improve the world.”,12978,"['activism', 'life', 'optimism', 'philosophy', 'world']"
39,J.K. Rowling,"“We're all human, aren't we? Every human life is worth the same, and worth saving.”",12423,"['human', 'life', 'value', 'worth']"
40,Henry Wadsworth Longfellow,“Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.”,11753,"['coldness', 'depression', 'happiness', 'life', 'sad', 'sadness', 'sorrow']"
41,George Harrison,"“If you don't know where you're going, any road'll take you there”",11637,"['life', 'paraphrase-of-lewis-carroll']"
42,Chuck Palahniuk,"“All God does is watch us and kill us when we get boring. We must never, ever be boring.”",11458,"['god', 'humor', 'life']"
43,George V. Higgins,"“This life’s hard, but it’s harder if you’re stupid.”",11223,"['humor', 'life', 'misattributed-john-wayne']"
44,Jonathan Safran Foer,“Sometimes I can hear my bones straining under the weight of all the lives I'm not living.”,11162,['life']
45,Margaret Mead,"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”",11013,"['activism', 'attributed-no-source', 'change', 'inspirational', 'life', 'philosophy', 'world']"
46,Mitch Albom,"“Death ends a life, not a relationship.”",11002,"['death', 'life']"
47,Gustave Flaubert,"“Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.”",10739,"['books', 'inspirational', 'life', 'reading']"
