,Author,Quotes,Likes,Tags
0,Albert Einstein,“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,139731,"['attributed-no-source', 'human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']"
1,Mahatma Gandhi,“Be the change that you wish to see in the world.”,110434,"['action', 'change', 'inspirational', 'philosophy', 'wish']"
2,Friedrich Nietzsche,"“Without music, life would be a mistake.”",70382,"['inspirational', 'music', 'philosophy']"
3,Elie Wiesel,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",40511,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
4,Benjamin Franklin Wade,“Go to heaven for the climate and hell for the company.”,19317,"['humor', 'misattributed-mark-twain', 'philosophy', 'theology']"
5,Nicolas Chamfort,“A day without laughter is a day wasted.”,14726,['philosophy']
6,Terry Johnson,“Have you ever noticed how ‘What the hell’ is always the right decision to make?”,13681,"['humor', 'misattributed-to-marilyn-monroe', 'philosophy']"
7,Anne Frank,“How wonderful it is that nobody need wait a single moment before starting to improve the world.”,12979,"['activism', 'life', 'optimism', 'philosophy', 'world']"
8,Margaret Mead,"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”",11013,"['activism', 'attributed-no-source', 'change', 'inspirational', 'life', 'philosophy', 'world']"
9,Kahlil Gibran,“You talk when you cease to be at peace with your thoughts.”,10616,"['philosophy', 'poetry']"
10,Jonathan Swift,“May you live every day of your life.”,9728,"['inspirational', 'life', 'philosophy', 'wisdom']"
11,Albert Camus,“Man is the only creature who refuses to be what he is.”,9588,"['human-nature', 'man', 'mankind', 'philosophy']"
12,May Sarton,"“We have to dare to be ourselves, however frightening or strange that self may prove to be.”",8830,"['authenticity', 'life', 'philosophy', 'self']"
13,Stephen Hawking,"“One, remember to look up at the stars and not down at your feet. Two, never give up work. Work gives you meaning and purpose and life is empty without it. Three, if you are lucky enough to find love, remember it is there and don't throw it away.”",8310,"['philosophy', 'science']"
14,Laurence J. Peter,"“If a cluttered desk is a sign of a cluttered mind, of what, then, is an empty desk a sign?”",8140,"['human', 'humor', 'misattributed-einstein', 'philosophy', 'stupidity']"
15,William Shakespear,"“There is nothing either good or bad, but thinking makes it so.”",7573,['philosophy']
16,Friedrich Nietzsche,"“It is hard enough to remember my opinions, without also remembering my reasons for them!”",7563,"['humor', 'philosophy']"
17,Isaac Asimov,“Never let your sense of morals prevent you from doing what is right.”,7178,"['humor', 'inspirational', 'philosophy', 'wisdom']"
18,Albert Einstein,"“A human being is a part of the whole called by us universe, a part limited in time and space. He experiences himself, his thoughts and feeling as something separated from the rest, a kind of optical delusion of his consciousness. This delusion is a kind of prison for us, restricting us to our personal desires and to affection for a few persons nearest to us. Our task must be to free ourselves from this prison by widening our circle of compassion to embrace all living creatures and the whole of nature in its beauty.”",7092,"['compassion', 'einstein', 'nature', 'philosophy']"
19,Patrick Ness,“You do not write your life with words...You write it with actions. What you think is not important. It is only important what you,5629,"['philosophy', 'wisdom']"
20,Lao Tzu,"“Simplicity, patience, compassion.",5506,"['inspirational', 'life', 'philosophy']"
21,Benjamin Spock,“Trust yourself. You know more than you think you do.”,5237,"['parenting', 'philosophy', 'self-assurance']"
22,Frank Zappa,"“Without deviation from the norm, progress is not possible.”",5220,"['music', 'philosophy', 'progress']"
23,J.R.R. Tolkien,"“Fantasy is escapist, and that is its glory. If a soldier is imprisioned by the enemy, don't we consider it his duty to escape?. . .If we value the freedom of mind and soul, if we're partisans of liberty, then it's our plain duty to escape, and to take as many people with us as we can!”",5074,"['fantasy', 'literature', 'philosophy']"
24,Bertrand Russell,"“Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.”",5026,"['confidence', 'eccentricity', 'philosophy']"
25,Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",5007,"['humor', 'philosophy']"
26,Elie Wiesel,"“There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.”",4960,"['activism', 'ethics', 'justice', 'philosophy']"
27,Albert Einstein,“The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.”,4959,"['1931', 'art', 'mystery', 'philosophy', 'science']"
28,D.H. Lawrence,"“A woman has to live her life, or live to repent not having lived it.”",4743,"['life', 'living', 'philosophy', 'women']"
29,Richard Dawkins,“We are all atheists about most of the gods that humanity has ever believed in. Some of us just go one god further.”,4398,"['atheism', 'philosophy']"
30,Fitzgerald F. Scott,"“I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.”",4301,['philosophy']
31,Malcolm X,"“You're not to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who does it or says it.”",4082,"['philosophy', 'politics']"
32,Mo Willems,"“If you ever find yourself in the wrong story, leave.”",3897,"['fairy-tales', 'humor', 'humorous', 'philosophy', 'psychology']"
33,Friedrich Nietzsche,"“When we are tired, we are attacked by ideas we conquered long ago.”",3871,"['past', 'philosophy']"
34,Douglas Adams,“Time is an illusion. Lunchtime doubly so.”,3787,"['humor', 'philosophy', 'science-fiction']"
35,Eckhart Tolle,“The past has no power over the present moment.”,3776,"['education', 'inspirational', 'life', 'philosophy', 'truth', 'wisdom']"
36,George Bernard Shaw,“The reasonable man adapts himself to the world: the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.”,3649,"['life', 'philosophy', 'philosophy-of-life', 'progress']"
37,Markus Zusak,“Maybe everyone can live beyond what they're capable of.”,3601,"['hope', 'inspirational', 'life', 'philosophy']"
38,Douglas Adams,"“Let's think the unthinkable, let's do the undoable. Let us prepare to grapple with the ineffable itself, and see if we may not eff it after all.”",3533,['philosophy']
39,William Blake,“A truth that's told with bad intent,3505,"['lies', 'logic', 'philosophy', 'religion', 'truth']"
40,Socrates,“I cannot teach anybody anything. I can only make them think”,3459,"['knowledge', 'philosophy']"
41,Lao Tsu,“Those who know do not speak. Those who speak do not know.”,3134,"['philosophy', 'wayfinding']"
42,J.K.Rowling,"“Happiness can be found, even in the darkest of times, if one only remembers to turn on the light.”",3051,"['dumbledore', 'philosophy']"
43,Santosh Kalwar,“We are addicted to our thoughts. We cannot change anything if we cannot change our thinking.”,3000,"['addiction', 'life-lessons', 'philosophy', 'thinking', 'thoughts']"
44,Plato,“The price good men pay for indifference to public affairs is to be ruled by evil men.”,2729,['philosophy']
45,Ian Fleming,“You only live twice:,2673,"['death', 'haiku', 'james-bond', 'philosophy', 'poetry']"
46,John Keats,"“Heard melodies are sweet, but those unheard, are sweeter”",2614,"['philosophy', 'religion', 'science']"
47,William S. Burroughs,“A paranoid is someone who knows a little of what's going on. ”,2587,"['drugs', 'philosophy', 'politics']"
48,Neil deGrasse Tyson,"“For me, I am driven by two main philosophies: know more today about the world than I knew yesterday and lessen the suffering of others. You'd be surprised how far that gets you.”",2577,"['compassion', 'inspiration', 'inspirational', 'knowledge', 'learning', 'philosophy', 'science', 'values']"
49,Carl Sagan,“Science is not only compatible with spirituality; it is a profound source of spirituality.”,2541,"['metaphysics', 'philosophy', 'science', 'sense-of-wonder', 'spirituality']"
50,Ralph Waldo Emerson,“It is easy in the world to live after the world's opinion; it is easy in solitude to live after our own; but the great man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude.”,2472,"['essay', 'inspirational', 'lecture', 'nonfiction', 'philosophy', 'self-reliance', 'social-commentary', 'transcendentalism']"
51,Ludwig van Beethoven,“Music is ... A higher revelation than all Wisdom & Philosophy”,2466,"['music', 'philosophy', 'revelation', 'wisdom']"
52,Mark Twain,“The easy confidence with which I know another man's religion is folly teaches me to suspect that my own is also.”,2440,"['humor', 'philosophy', 'religion']"
53,Gilles Deleuze,“A concept is a brick. It can be used to build a courthouse of reason. Or it can be thrown through the window.”,2429,"['anarchy', 'freedom', 'inspirational', 'lateral-thinking', 'philosophy', 'rationalism']"
54,Albert Camus,"“An intellectual? Yes. And never deny it. An intellectual is someone whose mind watches itself. I like this, because I am happy to be both halves, the watcher and the watched. ""Can they be brought together?"" This is a practical question. We must get down to it. ""I despise intelligence"" really means: ""I cannot bear my doubts.”",2425,"['intellectuals', 'intelligence', 'philosophy', 'scholars']"
55,Plato,"“Do not train a child to learn by force or harshness; but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each.”",2406,"['discipline', 'education', 'mentoring', 'philosophy']"
56,Adolf Hitler,"“If you win, you need not have to explain...If you lose, you should not be there to explain!”",2382,"['philosophy', 'war']"
57,Kurt Vonnegut,"“Tiger got to hunt, bird got to fly;",2377,"['life', 'nature', 'philosophy']"
58,Oscar Wilde,“Morality is simply the attitude we adopt towards people we personally dislike.”,2347,"['morality', 'philosophy']"
59,Confucius,"“Life is really simple, but we insist on making it complicated.”",2323,"['complexity', 'philosophy', 'simplicity']"
60,Antoine de Saint-Exupéry,"“Grown-ups never understand anything by themselves, and it is tiresome for children to be always and forever explaining things to them”",2386,"['adults', 'antoine-de-saint-exupery', 'children', 'philosophy', 'the-little-prince']"
61,Yann Martel,"“I must say a word about fear. It is life's only true opponent. Only fear can defeat life. It is a clever, treacherous adversary, how well I know. It has no decency, respects no law or convention, shows no mercy. It goes for your weakest spot, which it finds with unnerving ease. It begins in your mind, always ... so you must fight hard to express it. You must fight hard to shine the light of words upon it. Because if you don't, if your fear becomes a wordless darkness that you avoid, perhaps even manage to forget, you open yourself to further attacks of fear because you never truly fought the opponent who defeated you.”",2318,"['fear', 'philosophy']"
62,Natalie Babbitt,"“Like all magnificent things, it's very simple.”",2313,"['elegance', 'philosophy', 'simplicity']"
63,Gabriel García Márquez,"“It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.”",2254,"['aging-well', 'disillusionment', 'growing-older', 'philosophy']"
64,Antoine de Saint-Exupéry,"“Well, I must endure the presence of a few caterpillars if I wish to become acquainted with the butterflies.”",2230,"['butterflies', 'caterpillars', 'philosophy']"
65,Ludwig Wittgenstein,“A serious and good philosophical work could be written consisting entirely of jokes.”,2196,['philosophy']
66,Haruki Murakami,"“Is it possible, in the final analysis, for one human being to achieve perfect understanding of another?",2133,"['essence', 'friendship', 'important', 'love', 'people', 'philosophy', 'possibility', 'thought']"
67,Bruce Lee,"“Be like water making its way through cracks. Do not be assertive, but adjust to the object, and you shall find a way around or through it. If nothing within you stays rigid, outward things will disclose themselves.",2063,"['bruce-lee', 'martial-arts', 'philosophy', 'politics']"
68,Judy Blume,"“Let children read whatever they want and then talk about it with them. If parents and kids can talk together, we won't have as much censorship because we won't have as much fear.”",2058,"['books', 'censor', 'communication', 'freedom', 'philosophy']"
69,Albert Einstein,“The important thing is not to stop questioning. Curiosity has its own reason for existing.”,2051,"['curiosity', 'philosophy', 'wonder']"
70,Charles M. Schulz,"“Sometimes I lie awake at night and I ask, ""Is life a multiple choice test or is it a true or false test?"" ...Then a voice comes to me out of the dark and says, ""We hate to tell you this but life is a thousand word essay.”",2035,['philosophy']
71,Daniel Keyes,"“I don’t know what’s worse: to not know what you are and be happy, or to become what you’ve always wanted to be, and feel alone.”",2027,"['happiness', 'loneliness', 'melancholy', 'philosophy', 'psychology']"
72,Charles Bukowski,"“Nothing was ever in tune. People just blindly grabbed at whatever there was: communism, health foods, zen, surfing, ballet, hypnotism, group encounters, orgies, biking, herbs, Catholicism, weight-lifting, travel, withdrawal, vegetarianism, India, painting, writing, sculpting, composing, conducting, backpacking, yoga, copulating, gambling, drinking, hanging around, frozen yogurt, Beethoven, Back, Buddha, Christ, TM, H, carrot juice, suicide, handmade suits, jet travel, New York City, and then it all evaporated and fell apart. People had to find things to do while waiting to die. I guess it was nice to have a choice.”",1955,"['humans', 'philosophy', 'society']"
73,Socrates,"“Be kind, for everyone you meet is fighting a hard battle.”",1934,['philosophy']
74,Stephen Fry,"“It's not all bad. Heightened self-consciousness, apartness, an inability to join in, physical shame and self-loathing—they are not all bad. Those devils have been my angels. Without them I would never have disappeared into language, literature, the mind, laughter and all the mad intensities that made and unmade me.”",1864,"['body-image', 'books', 'depression', 'insecurity', 'isolation', 'language', 'laughter', 'literature', 'philosophy', 'self-consciousness', 'self-image', 'self-loathing', 'shame', 'social-anxiety']"
75,Friedrich Nietzsche,“I would believe only in a God that knows how to dance.”,1786,['philosophy']
76,Freidrich Neitzsche,"“The true man wants two things: danger and play. For that reason he wants woman, as the most dangerous plaything.”",1668,"['philosophy', 'women']"
77,Jose Marti,“The first duty of a man is to think for himself”,1661,"['communism', 'democracy', 'freedom', 'history', 'hope', 'individualism', 'philosophy', 'politics', 'revolution', 'socialism']"
78,Alan Wilson Watts,“Man suffers only because he takes seriously what the gods made for fun.”,1661,"['buddhism', 'metaphysics', 'philosophy', 'religion', 'tao', 'taoism', 'theology', 'zen']"
79,Bill Hicks,"“Today a young man on acid realized that all matter is merely energy condensed to a slow vibration, that we are all one consciousness experiencing itself subjectively, there is no such thing as death, life is only a dream, and we are the imagination of ourselves. Heres Tom with the Weather.”",1653,"['humour', 'philosophy']"
80,Ayn Rand,“The smallest minority on earth is the individual. Those who deny individual rights cannot claim to be defenders of minorities.”,1616,"['freedom-of-thought', 'philosophy', 'politics', 'rights']"
81,Keith Richards,"“If you're going to kick authority in the teeth, you might as well use two feet.”",1590,"['drugs', 'music', 'philosophy', 'politics']"
82,Mahatma Gandhi,"“The day the power of love overrules the love of power, the world will know peace.”",1590,"['humanism', 'jimi-hendrix', 'love', 'mahatma-gandhi', 'peace', 'philosophy', 'power']"
83,Tamora Pierce,"“You didn't kill him. He would have killed you, but you didn't kill him.""",1559,"['alanna', 'amusing', 'philosophy', 'tamora-pierce']"
84,Rollo May,“It is an ironic habit of human beings to run faster when they have lost their way.”,1550,['philosophy']
85,Dylan Thomas,"“Do not go gentle into that good night,",1548,"['death-and-dying', 'inspirational', 'philosophy', 'poetry']"
86,Epictetus,"“If anyone tells you that a certain person speaks ill of you, do not make excuses about what is said of you but answer, ""He was ignorant of my other faults, else he would not have mentioned these alone.”",1498,"['history', 'humility', 'philosophy']"
87,Heraclitus,“Time is a game played beautifully by children.”,1497,"['fragment-52', 'games', 'heraclitus', 'leisure', 'philosophy', 'play', 'time', 'wisdom']"
88,Ayn Rand,"“I started my life with a single absolute: that the world was mine to shape in the image of my highest values and never to be given up to a lesser standard, no matter how long or hard the struggle.”",1399,"['galt', 'objectivism', 'philosophy', 'taggart']"
89,Antoine de Saint-Exupéry,"“I shall look at you out of the corner of my eye, and you will say nothing. Words are the source of misunderstandings.”",1368,"['communication', 'inspirational', 'philosophy']"
90,Aristotle,"“Those who educate children well are more to be honored than they who produce them; for these only gave them life, those the art of living well.”",1416,"['greek', 'mentors', 'philosophy', 'teachers']"
91,Norton Juster,"“Expect everything, I always say, and the unexpected never happens.”",1397,['philosophy']
92,J.R.R. Tolkien,"“We have come from God, and inevitably the myths woven by us, though they contain error, will also reflect a splintered fragment of the true light, the eternal truth that is with God. Indeed only by myth-making, only by becoming 'sub-creator' and inventing stories, can Man aspire to the state of perfection that he knew before the Fall. Our myths may be misguided, but they steer however shakily towards the true harbour, while materialistic 'progress' leads only to a yawning abyss and the Iron Crown of the power of evil.”",1389,"['books', 'philosophy']"
93,James Baldwin,“Perhaps home is not a place but simply an irrevocable condition.”,1332,"['anchoring', 'attachment', 'belonging', 'comfort', 'completion', 'fulfillment', 'home', 'irrevocability', 'permanence', 'philosophy', 'psychology', 'safety', 'security', 'state-of-mind']"
94,Karl Marx,“The philosophers have only,1311,"['action', 'change', 'ideology', 'philosophy', 'resistance', 'struggle']"
95,Thomas Jefferson,“The legitimate powers of government extend to such acts only as are injurious to others. It does me no injury for my neighbor to say there are twenty gods or no god. It neither picks my pocket nor breaks my leg.”,1308,"['atheism', 'philosophy', 'religion']"
96,Simone de Beauvoir,"“One is not born, but rather becomes, a woman.”",1225,"['feminism', 'philosophy']"
97,Fyodor Dostoevsky,"“Man is a mystery. It needs to be unravelled, and if you spend your whole life unravelling it, don't say that you've wasted time. I am studying that mystery because I want to be a human being.”",1215,"['life', 'philosophy', 'wisdom']"
98,Bertrand Russell,“I would never die for my beliefs because I might be wrong.”,1179,"['paraphrased', 'philosophy']"
99,Milan Kundera,"“He suddenly recalled from Plato's Symposium: People were hermaphrodites until God split then in two, and now all the halves wander the world over seeking one another. Love is the longing for the half of ourselves we have lost.”",1129,"['love', 'philosophy']"
100,Erich fromm,"“A person who has not been completely alienated, who has remained sensitive and able to feel, who has not lost the sense of dignity, who is not yet ""for sale"", who can still suffer over the suffering of others, who has not acquired fully the having mode of existence - briefly, a person who has remained a person and not become a thing - cannot help feeling lonely, powerless, isolated in present-day society. He cannot help doubting himself and his own convictions, if not his sanity. He cannot help suffering, even though he can experience moments of joy and clarity that are absent in the life of his ""normal"" contemporaries. Not rarely will he suffer from neurosis that results from the situation of a sane man living in an insane society, rather than that of the more conventional neurosis of a sick man trying to adapt himself to a sick society. In the process of going further in his analysis, i.e. of growing to greater independence and productivity,his neurotic symptoms will cure themselves.”",1079,"['humanism', 'philosophy', 'psychoanalysis', 'psychology']"
101,Philip K. Dick,"“Maybe each human being lives in a unique world, a private world different from those inhabited and experienced by all other humans. . . If reality differs from person to person, can we speak of reality singular, or shouldn't we really be talking about plural realities? And if there are plural realities, are some more true (more real) than others? What about the world of a schizophrenic? Maybe it's as real as our world. Maybe we cannot say that we are in touch with reality and he is not, but should instead say, His reality is so different from ours that he can't explain his to us, and we can't explain ours to him. The problem, then, is that if subjective worlds are experienced too differently, there occurs a breakdown in communication ... and there is the real illness.”",1075,"['epistemology', 'madness', 'perception', 'philosophy', 'postmodern', 'reality', 'schizophrenia', 'solipsism']"
102,Carl Sagan,“The cosmos is within us. We are made of star-stuff. We are a way for the universe to know itself.”,1054,"['connectedness', 'evolution', 'life', 'origin-of-life', 'perspective', 'philosophy', 'quantum-physics', 'stardust', 'stars']"
103,George Lucas,"“No! Try not. Do, or do not. There is no try.”",1046,"['humor', 'inspirational', 'jedi', 'life', 'philosophy', 'star-wars']"
104,George Orwell,"“For, after all, how do we know that two and two make four? Or that the force of gravity works? Or that the past is unchangeable? If both the past and the external world exist only in the mind, and if the mind itself is controllable – what then?”",1045,"['ethics', 'logic', 'metaphysics', 'ontology', 'philosophy', 'psychology', 'science']"
105,Richard P. Feynman,"“I have a friend who's an artist and has sometimes taken a view which I don't agree with very well. He'll hold up a flower and say ""look how beautiful it is,"" and I'll agree. Then he says ""I as an artist can see how beautiful this is but you as a scientist take this all apart and it becomes a dull thing,"" and I think that he's kind of nutty. First of all, the beauty that he sees is available to other people and to me too, I believe. Although I may not be quite as refined aesthetically as he is ... I can appreciate the beauty of a flower. At the same time, I see much more about the flower than he sees. I could imagine the cells in there, the complicated actions inside, which also have a beauty. I mean it's not just beauty at this dimension, at one centimeter; there's also beauty at smaller dimensions, the inner structure, also the processes. The fact that the colors in the flower evolved in order to attract insects to pollinate it is interesting; it means that insects can see the color. It adds a question: does this aesthetic sense also exist in the lower forms? Why is it aesthetic? All kinds of interesting questions which the science knowledge only adds to the excitement, the mystery and the awe of a flower. It only adds. I don't understand how it subtracts.”",1037,"['feynman', 'knowledge', 'mystery', 'philosophy', 'science', 'understanding']"
106,Plato,“One of the penalties of refusing to participate in politics is that you end up being governed by your inferiors.”,1034,"['philosophy', 'politics']"
107,Lao Tzu,“If you understand others you are smart.,1022,['philosophy']
108,Harlan Ellison,"“I know that pain is the most important thing in the universes. Greater than survival, greater than love, greater even than the beauty it brings about. For without pain, there can be no pleasure. Without sadness, there can be no happiness. Without misery there can be no beauty. And without these, life is endless, hopeless, doomed and damned.",1017,"['inspirational', 'pain', 'philosophy']"
109,Amit Ray,"“It does not matter how long you are spending on the earth, how much money you have gathered or how much attention you have received. It is the amount of positive vibration you have radiated in life that matters,”",1007,"['attention', 'compassion', 'happiness', 'happy-life', 'inspirational', 'kindness', 'life', 'love', 'meaning-of-life', 'meditation', 'money', 'oneness', 'peace', 'perspective', 'philosophy', 'positive-attitude', 'positive-living', 'purpose', 'purpose-in-life', 'purpose-of-life', 'purposeful-living', 'respect', 'revelation', 'self-awareness', 'self-discovery', 'spirit', 'spirituality', 'wisdom']"
110,Epictetus,“Don't explain your philosophy. Embody it.”,1003,"['philosophers', 'philosophy']"
111,Lao Tzu,“The flame that burns Twice as bright burns half as long.”,1001,"['aphorism', 'philosophy', 'proverb']"
